TITLE,DESCRIPTION,PRICE,SHIPPING LOCATION,SHIPPING COSTS,STATUS
WIFI RC GW198 5G 2.4G Remote Drone W/ 720P Camera GPS FPV Brushless Helicopter,"
 Product 
 Item No: GW198 GPS 
 Brand Name: Global Drone 
 Frequency: 2.4GHz 
 Gyro : 6 axis 
 Flight time: Around 15—20 minutes 
 Charging time: About 240 minutes 
 Remote Control Distance: About 400 meters 
 Battery For Quadcopter: 7.4V 2000mAh lipo Battery (included) 
 Battery For Transmitter: 4 x 1.5V AA Batteries (not included) 
 Night Flight: Yes 
 Color: Black 
 
 
 Accessories:  1 x GW198 GPS RC Drone  1 x Transmitter  1 x 7.4V 2000mAh Battery(inside the drone)  1 x USB Cable  1 x English manual 
 Note:  The flight time may be less than 21 minutes in cold weather 
 Type Ready t.",$144.99,From China,$5.00 shipping,71 sold
Foldable Selfie Drone 720P HD Camera 2.4G Wifi FPV RC Quadcopter Helicopter Toys,,$26.59,From China,$1.99 shipping,72 watching
2.4G 4CH 6-Axis Gyro Hover HD RC Quadcopter Drone with WIFI Camera Drone FPV RTF,"Descriptions:Version:0.3MP  Folding FPV Camera DroneBrand Name: XGODYItem NO.:TX-1Color: GrayFrequency: 2.4G    Channel: 4CHGyro: 6 AxisQuadcopter Battery: 3.7V 500mAh Lipo (Included)Transmitter Battery: 3 x 1.5 AA Batteries (NOT Included)Charging Time: 60-70minsFlying Time: 7-9minsR/C Distance: 80-100m             Folding Size: 27x19.5x5cm/ 10.63x7.68x1.97""Unfold Size: 12.5x7.5x5cm/ 4.92x2.95x1.97""Package Weight: 360gFeatures:With foldable arms, small size, easy to carry.With altitude hold mode function provides stable flight.With wifi function can be connected APP, APK system to take pictures, video, real-time transmission through the phone camera image.There have 2 c.",$43.97,From China,$4.99 shipping,Only 1 left!
Wide Angle Lens HD Camera Quadcopter RC 2.4GHz Drone WiFi FPV Helicopter Hover,"Features:  -WIFI FPV with 2.0MP HD adjustable camera.  -With High Hold mode can set height.  -Headless mode,360 roll.  -6-Axis gyro quad-rotorcraft flight, strong stability,can easily implement various flight movements, stronger wind resistance, easier to control.  -The quadcopter can fly both indoor and outdoor.Including 4CH digital proportional RC system.  -Rechargeable high performance battery.  -Function:up/down,left/right sideward fight,forward/backward,turn left/right,with gyro/flash lights,A 360-degree 3D and special functions(continuous rolling)  Specifications: Item NO.: KY101 Remote control: 2.4GHz  Gyroscope: Six axis Channel : 4CH  C.",$43.99,From China,Free shipping,443 sold
Professional Wide Angle Drone HD Camera RC Drone WiFi FPV Live Helicopter Hover,,$52.99,From China,Free shipping,
Foldable 720P HD Camera Drone Wifi FPV App Control RC Quadcopter Toy Gift,,$24.00,From Hong Kong,Free shipping,738 sold
"New ListingDJI Mavic Pro Folding Drone - 4K Stabilized Camera, GPS","Model: DJI Mavic ProFeatures:The DJI Mavic Pro folds down as small as a bottle of water, making it small enough to bring with you everywhere.New OcuSync transmission system offers up to 4.3 miles (7km) of transmission range.Fly at up to 40mph (64kmh) or for as long as 27-minutes.True 4K, fully stabilized ensures smooth footageActiveTrack, TapFly and other smart features make professional looking video effortless.Obstacle Avoidance combined with sensor redundancy increases flight safety and reliability.Vision positioning paired with GPS and GLONASS ensures.",$535.00,,$86.95 shipping,
Aosenma CG033 6 Axis FPV Drone WiFi 1080P HD Camera GPS Altitude Hold Quadcopter,"Brushless Motor strong power to the quadcopter. Gyro:6 Axis. 6 axis gyro fly system makes more stable and flexible flight. Size: unfold:29X29X8cm,Fold:13.9X7.3X5.1cm. With Headless Mode,no need to adjust the position of aircraft before flying.",$183.99,From China,Free shipping,Only 1 left!
DJI Mavic Pro 2 - Hasselblad Camera - HDR Video - Brand New!,"The Mavic 2 offers iconic Hasselblad image quality on the Pro and a high-performance zoom lens on the Zoom.
 
 Hasselblad Camera
 1"" CMOS Sensor
 Adjustable Aperture
 10-bit Dlog-M
 10-bit HDR Video
 Hyperlapse.","$1,449.00",,$86.95 shipping,113 sold
Syma X5SW-V3 Wifi FPV Explorers 2.4Ghz 4CH RC Quadcopter Drone with HD Camera,"This RC quadcopter features a 6-axis gyro based on 4 channels to ensure a stable and fast flight. Moreover, it is built with headless mode so as to avoid the difficulty of identifying the head and tail when you start to fly.",$21.89,,Free shipping,
